,year,timestop_cat,recstat,inout,trhsloc,crimsusp,typeofid,explnstp,othpers,sumissue,offunif,frisked,searched,contrabn,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,rf_rfcmp,cs_vcrim,cs_bulge,cs_other,rf_knowl,ac_other,sb_hdobj,sb_other,forceuse,sex,race,age,weight,build,city,weapons,physical_force,height,arstmade
0,2015,D,1,O,P,other,V,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,M,W,33,190,M,BROOKLYN,N,N,71,N
1,2015,D,A,O,P,other,V,Y,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,SF,M,B,14,140,T,MANHATTAN,N,Y,68,N
2,2015,D,1,O,P,MISD,V,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,SF,M,B,14,140,T,MANHATTAN,N,Y,63,N
3,2015,D,1,O,P,other,V,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,M,B,14,180,M,MANHATTAN,N,N,69,N
4,2015,D,1,O,P,other,V,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,SF,M,B,13,160,M,MANHATTAN,N,Y,70,N
5,2015,D,1,O,P,other,V,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,SF,M,W,13,130,M,MANHATTAN,N,Y,62,N
6,2015,N,1,O,P,other,R,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,25,160,T,BROOKLYN,N,N,69,N
7,2015,N,1,I,H,other,V,Y,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,M,B,15,150,T,MANHATTAN,N,N,67,N
8,2015,D,1,I,T,other,P,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,OR,M,B,23,160,T,MANHATTAN,N,Y,69,N
9,2015,D,A,O,P,other,V,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,W,16,150,M,BROOKLYN,N,N,70,N
10,2015,N,1,I,P,other,R,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,M,B,30,160,M,BROOKLYN,N,N,70,N
11,2015,D,A,O,P,other,V,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DS,M,B,18,160,T,BROOKLYN,N,Y,70,N
12,2015,D,A,O,P,FELONY,P,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,48,160,T,MANHATTAN,N,N,65,N
13,2015,D,A,O,P,other,V,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,OR,M,B,16,160,T,STATEN IS,N,Y,68,N
14,2015,D,1,I,T,other,P,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,OT,M,B,26,155,T,MANHATTAN,N,Y,67,Y
15,2015,D,1,O,P,other,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,M,B,14,120,T,MANHATTAN,N,N,65,N
16,2015,D,A,I,P,other,P,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,B,26,165,T,MANHATTAN,N,N,70,N
17,2015,D,1,O,P,other,P,Y,N,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,SW,M,Q,23,160,T,QUEENS,N,Y,67,N
18,2015,D,A,O,P,other,V,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,DS,M,Z,19,150,T,MANHATTAN,N,Y,66,Y
19,2015,D,1,I,P,other,R,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,SW,F,B,99,180,M,MANHATTAN,N,Y,69,N
20,2015,D,A,O,P,other,P,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,OT,Z,Z,24,150,T,BROOKLYN,N,Y,69,N
21,2015,D,A,O,P,other,V,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,M,Q,23,185,M,BROOKLYN,N,N,66,N
22,2015,D,A,O,P,other,O,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,M,Q,22,140,M,BROOKLYN,N,N,68,N
23,2015,D,A,O,P,other,P,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,M,Q,24,180,M,BROOKLYN,N,N,70,N
24,2015,D,1,O,P,other,P,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,F,Q,32,140,M,QUEENS,N,N,66,N
25,2015,D,1,O,P,other,P,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,M,W,35,170,M,QUEENS,N,N,71,N
26,2015,D,1,O,P,other,V,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,W,33,195,T,BROOKLYN,N,N,71,N
27,2015,D,A,O,P,other,P,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,Z,39,170,T,QUEENS,N,N,69,N
28,2015,D,1,O,H,FELONY,P,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,SW,M,B,20,180,U,BRONX,N,Y,72,N
29,2015,D,1,I,P,other,V,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,30,150,T,MANHATTAN,N,N,69,N
30,2015,D,1,I,P,other,R,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DS,M,B,35,170,M,MANHATTAN,N,Y,67,N
31,2015,D,1,O,P,other,R,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,OT,M,B,20,160,M,BROOKLYN,N,Y,66,N
32,2015,D,A,O,P,other,V,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,M,Z,44,200,M,BRONX,N,N,69,N
33,2015,D,A,O,P,other,P,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Z,Z,32,160,M,BRONX,N,N,65,N
34,2015,D,A,I,P,other,P,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,F,Q,42,150,M,BROOKLYN,N,N,61,N
35,2015,D,A,I,P,other,P,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,Q,20,120,T,BROOKLYN,N,N,64,N
36,2015,D,A,I,P,other,P,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,Q,48,325,H,BROOKLYN,N,N,71,N
37,2015,N,A,O,P,other,P,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DS,M,Z,23,180,M,MANHATTAN,N,Y,71,N
38,2015,N,A,O,P,other,P,Y,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Z,Z,20,140,T,BROOKLYN,N,N,65,N
39,2015,N,1,O,P,other,V,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,Q,15,125,T,MANHATTAN,N,N,64,N
40,2015,N,1,O,P,other,V,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,M,Q,12,180,M,MANHATTAN,N,N,70,N
41,2015,N,1,O,P,other,P,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,SW,M,B,53,200,U,MANHATTAN,Y,Y,65,Y
42,2015,N,A,O,P,other,P,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,28,180,M,BROOKLYN,N,N,66,N
43,2015,N,1,O,P,other,R,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SF,M,B,14,150,M,MANHATTAN,N,Y,67,N
44,2015,N,A,O,P,other,P,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,48,230,H,BRONX,N,N,66,N
45,2015,N,A,O,P,other,V,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,M,Q,16,150,T,BRONX,N,N,66,N
46,2015,N,A,O,P,other,V,Y,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,OT,M,B,17,125,T,BROOKLYN,N,Y,70,Y
47,2015,N,1,O,H,other,P,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,M,B,16,170,M,MANHATTAN,N,N,69,N
48,2015,N,A,O,P,other,V,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,SF,M,B,16,160,T,QUEENS,N,Y,72,N
49,2015,N,1,O,H,other,P,Y,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,20,140,M,MANHATTAN,N,N,68,N
50,2015,N,A,I,P,other,P,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,Q,21,160,T,MANHATTAN,N,N,71,N
51,2015,N,A,O,P,other,V,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,DS,M,Q,28,180,Z,BRONX,N,Y,69,N
52,2015,N,A,O,P,other,P,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,DS,M,Q,21,180,Z,BRONX,N,Y,70,N
53,2015,N,1,O,H,other,V,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,B,31,190,T,MANHATTAN,N,N,73,N
